player,team,position,price,minutes_avg,goals,assists,xg90,xa90,next_opponent
Riccardo Calafiori,ARS,DEF,5.6,18.00,1,2,0.165,0.025,TOT (A)
Jurriën Timber,ARS,DEF,6.4,72.00,2,4,0.144,0.093,TOT (A)
Gabriel dos Santos Magalhães,ARS,DEF,7.1,72.00,3,2,0.097,0.046,TOT (A)
Benjamin White,ARS,DEF,5.1,6.40,0,1,0.095,0.108,TOT (A)
William Saliba,ARS,DEF,6.1,54.00,0,0,0.029,0.020,TOT (A)
Myles Lewis-Skelly,ARS,DEF,5.1,0.00,0,0,0.022,0.039,TOT (A)
Piero Hincapié,ARS,DEF,5.1,46.80,0,1,0.000,0.048,TOT (A)
Cristhian Mosquera,ARS,DEF,5.3,18.00,0,0,0.000,0.010,TOT (A)
Brayden Clarke,ARS,DEF,3.8,0.00,0,0,0.000,0.000,TOT (A)
Jakub Kiwior,ARS,DEF,5.4,0.00,0,0,0.000,0.000,TOT (A)
Josh Nichols,ARS,DEF,3.7,0.00,0,0,0.000,0.000,TOT (A)
Maldini Kacurri,ARS,DEF,3.9,0.00,0,0,0.000,0.000,TOT (A)
Marli Salmon,ARS,DEF,4.0,0.00,0,0,0.000,0.000,TOT (A)
Gabriel Fernando de Jesus,ARS,FWD,6.4,26.00,2,0,0.565,0.058,TOT (A)
Viktor Gyökeres,ARS,FWD,8.8,45.40,8,0,0.451,0.073,TOT (A)
Kai Havertz,ARS,FWD,7.3,25.20,0,1,0.095,0.102,TOT (A)
David Raya Martín,ARS,GKP,5.9,72.00,0,0,0.000,0.002,TOT (A)
Karl Hein,ARS,GKP,4.0,0.00,0,0,0.000,0.000,TOT (A)
Kepa Arrizabalaga Revuelta,ARS,GKP,4.1,0.00,0,0,0.000,0.000,TOT (A)
Tommy Setford,ARS,GKP,3.9,0.00,0,0,0.000,0.000,TOT (A)
Max Dowman,ARS,MID,4.2,0.00,0,1,0.579,0.000,TOT (A)
Gabriel Martinelli Silva,ARS,MID,6.8,13.60,1,3,0.410,0.115,TOT (A)
Bukayo Saka,ARS,MID,9.8,22.00,4,7,0.373,0.340,TOT (A)
Leandro Trossard,ARS,MID,6.8,64.40,5,5,0.322,0.193,TOT (A)
Mikel Merino Zazón,ARS,MID,5.4,6.40,4,3,0.270,0.131,TOT (A)
Eberechi Eze,ARS,MID,7.2,21.80,4,3,0.208,0.136,TOT (A)
Ethan Nwaneri,ARS,MID,5.0,0.00,0,0,0.192,0.028,TOT (A)
Noni Madueke,ARS,MID,6.8,40.60,2,1,0.167,0.289,TOT (A)
Christian Nørgaard,ARS,MID,5.1,0.20,0,0,0.162,0.000,TOT (A)
Declan Rice,ARS,MID,7.6,72.00,4,7,0.147,0.241,TOT (A)
Martín Zubimendi Ibáñez,ARS,MID,5.3,65.40,5,1,0.106,0.072,TOT (A)
Martin Ødegaard,ARS,MID,7.8,26.20,1,5,0.086,0.247,TOT (A)
Albert Sambi Lokonga,ARS,MID,4.5,0.00,0,0,0.000,0.000,TOT (A)
Andre Harriman-Annous,ARS,MID,4.4,0.00,0,0,0.000,0.000,TOT (A)
Fábio Ferreira Vieira,ARS,MID,5.4,0.00,0,0,0.000,0.000,TOT (A)
Ismeal Kabia,ARS,MID,4.5,0.00,0,0,0.000,0.000,TOT (A)
Ian Maatsen,AVL,DEF,4.2,71.00,0,0,0.077,0.147,LEE (H)
Tyrone Mings,AVL,DEF,4.3,39.00,0,1,0.052,0.022,LEE (H)
Pau Torres,AVL,DEF,4.3,50.80,0,1,0.047,0.001,LEE (H)
Matty Cash,AVL,DEF,4.9,72.00,3,2,0.043,0.095,LEE (H)
Lucas Digne,AVL,DEF,4.5,23.40,0,4,0.040,0.126,LEE (H)
Ezri Konsa Ngoyo,AVL,DEF,4.4,90.00,0,0,0.032,0.023,LEE (H)
Victor Lindelöf,AVL,DEF,4.5,1.40,0,1,0.003,0.097,LEE (H)
Lamare Bogarde,AVL,DEF,4.0,45.40,0,0,0.000,0.006,LEE (H)
Andrés García,AVL,DEF,3.9,0.00,0,0,0.000,0.000,LEE (H)
Leon Routh,AVL,DEF,4.0,0.00,0,0,0.000,0.000,LEE (H)
Lino da Cruz Sousa,AVL,DEF,3.8,0.00,0,0,0.000,0.000,LEE (H)
TJ Carroll,AVL,DEF,4.0,0.00,0,0,0.000,0.000,LEE (H)
Travis Patterson,AVL,DEF,3.9,0.00,0,0,0.000,0.000,LEE (H)
