player,team,position,price,next_opponent,minutes_avg,xg90,xa90,attack_raw,value_raw,fixture_home,score,rank_position
James Justin,LEE,DEF,3.9,AVL (A),81.00,0.122,0.173,0.243100,0.062333,0,0.866815,1
Malick Thiaw,NEW,DEF,5.0,MCI (A),90.00,0.193,0.036,0.218200,0.043640,0,0.797235,2
Daniel Muñoz Mejía,CRY,DEF,5.9,WOL (H),65.20,0.110,0.186,0.240200,0.040712,1,0.772381,3
Nico O'Reilly,MCI,DEF,4.9,NEW (H),81.00,0.126,0.074,0.177800,0.036286,1,0.707237,4
Patrick Dorgu,MUN,DEF,4.3,EVE (A),34.00,0.141,0.179,0.266300,0.061930,0,0.706470,5
Ian Maatsen,AVL,DEF,4.2,LEE (H),71.00,0.077,0.147,0.179900,0.042833,1,0.689359,6
Keane Lewis-Potter,BRE,DEF,4.8,BHA (H),36.40,0.160,0.114,0.239800,0.049958,1,0.677227,7
Nordi Mukiele,SUN,DEF,4.6,FUL (H),88.40,0.075,0.105,0.148500,0.032283,1,0.670285,8
Jurriën Timber,ARS,DEF,6.4,TOT (A),72.00,0.144,0.093,0.209100,0.032672,0,0.666226,9
Marcos Senesi Barón,BOU,DEF,4.8,WHU (A),90.00,0.048,0.161,0.160700,0.033479,0,0.654384,10
Daniel Ballard,SUN,DEF,4.6,FUL (H),90.00,0.120,0.027,0.138900,0.030196,1,0.652081,11
Marc Guéhi,MCI,DEF,5.2,NEW (H),72.00,0.110,0.077,0.163900,0.031519,1,0.626237,12
Marc Cucurella Saseta,CHE,DEF,6.1,BUR (H),72.00,0.078,0.130,0.169000,0.027705,1,0.623518,13
Maxence Lacroix,CRY,DEF,5.1,WOL (H),90.00,0.096,0.046,0.128200,0.025137,1,0.615160,14
Malo Gusto,CHE,DEF,4.9,BUR (H),52.00,0.112,0.111,0.189700,0.038714,1,0.612431,15
Rodrigo Martins Gomes,WOL,DEF,4.4,CRY (A),43.80,0.178,0.047,0.210900,0.047932,0,0.597488,16
Ferdi Kadıoğlu,BHA,DEF,4.4,BRE (A),89.60,0.061,0.097,0.128900,0.029295,0,0.578336,17
Diogo Dalot Teixeira,MUN,DEF,4.5,EVE (A),87.20,0.066,0.095,0.132500,0.029444,0,0.575309,18
