player,team,xg90,xa90,minutes_understat,xg_total,xa_total,team_understat
Ben White,ARS,0.06,0.254,406,0.27,1.147,Arsenal
Bukayo Saka,ARS,0.373,0.34,1572,6.514,5.946,Arsenal
Christian Nørgaard,ARS,0.162,0.0,27,0.049,0.0,Arsenal
Cristhian Mosquera,ARS,0.0,0.01,520,0.0,0.061,Arsenal
David Raya,ARS,0.0,0.006,2340,0.0,0.149,Arsenal
Declan Rice,ARS,0.147,0.241,2153,3.508,5.755,Arsenal
Ethan Nwaneri,ARS,0.192,0.028,154,0.329,0.048,Arsenal
Gabriel,ARS,0.166,0.09,1717,3.169,1.713,Arsenal
Gabriel Jesus,ARS,0.888,0.029,263,2.595,0.083,Arsenal
Gabriel Martinelli,ARS,0.498,0.214,588,3.253,1.399,Arsenal
Jurriën Timber,ARS,0.144,0.093,2103,3.358,2.183,Arsenal
Kai Havertz,ARS,0.095,0.102,163,0.173,0.185,Arsenal
Leandro Trossard,ARS,0.322,0.193,1524,5.446,3.276,Arsenal
Martin Odegaard,ARS,0.094,0.308,1052,1.098,3.601,Arsenal
Martín Zubimendi,ARS,0.106,0.034,2205,2.587,0.839,Arsenal
Max Dowman,ARS,0.579,0.0,24,0.154,0.0,Arsenal
Mikel Merino,ARS,0.419,0.211,977,4.552,2.29,Arsenal
Myles Lewis-Skelly,ARS,0.022,0.039,285,0.07,0.122,Arsenal
Noni Madueke,ARS,0.167,0.289,788,1.458,2.533,Arsenal
Piero Hincapié,ARS,0.0,0.048,1129,0.0,0.597,Arsenal
Riccardo Calafiori,ARS,0.165,0.025,1390,2.552,0.385,Arsenal
Viktor Gyokeres,ARS,0.482,0.084,1601,8.568,1.494,Arsenal
William Saliba,ARS,0.029,0.02,1709,0.559,0.382,Arsenal
Alysson Edward,AVL,0.0,0.0,13,0.0,0.0,Aston Villa
Amadou Onana,AVL,0.06,0.027,1177,0.78,0.357,Aston Villa
Andrés García,AVL,0.0,0.0,27,0.0,0.0,Aston Villa
Boubacar Kamara,AVL,0.066,0.046,1434,1.052,0.729,Aston Villa
Bradley Burrowes,AVL,0.0,0.0,12,0.0,0.0,Aston Villa
Donyell Malen,AVL,0.711,0.055,600,4.739,0.369,Aston Villa
Emiliano Buendía,AVL,0.241,0.157,1165,3.115,2.03,Aston Villa
Emiliano Martinez,AVL,0.0,0.0,1937,0.0,0.0,Aston Villa
Ezri Konsa Ngoyo,AVL,0.032,0.023,2226,0.785,0.565,Aston Villa
George Hemmings,AVL,0.092,0.0,19,0.019,0.0,Aston Villa
Ian Maatsen,AVL,0.077,0.147,1041,0.896,1.704,Aston Villa
